#  Time[s]  	bnd_inflow[Q [m3/s]] 	bnd_inflow[Qsed tot [m3/s]] 	bnd_outflow[Q [m3/s]] 	bnd_outflow[Qsed tot [m3/s]] 	bnd_inflow_sed[Q [m3/s]] 	bnd_inflow_sed[Qsed tot [m3/s]] 	
490000 	       23.562029 	               0 	       25.118586 	               0 	               0 	     -0.03451666
495000 	       23.163659 	               0 	       22.311306 	               0 	               0 	    -0.034849645
500000 	       24.259068 	               0 	       24.268767 	               0 	               0 	    -0.034342624
505000 	        24.14397 	               0 	       24.121527 	               0 	               0 	    -0.034366586
510000 	       29.906969 	               0 	       17.342337 	               0 	               0 	    -0.034774151
515000 	       28.984166 	               0 	       28.981405 	               0 	               0 	    -0.033771144
520000 	       28.789827 	               0 	       28.827609 	               0 	               0 	    -0.033764151
525000 	       28.479675 	               0 	       28.557997 	               0 	               0 	    -0.033804322
530000 	        23.15615 	               0 	       23.718682 	               0 	               0 	    -0.034421605
535000 	       22.337906 	               0 	       22.313305 	               0 	               0 	    -0.034813943
540000 	       21.870702 	               0 	       21.876848 	               0 	               0 	    -0.035014782
545000 	       21.280872 	               0 	       21.301489 	               0 	               0 	    -0.035380459
550000 	       21.423578 	               0 	       21.400345 	               0 	               0 	    -0.035342741
555000 	        21.01983 	               0 	       20.404486 	               0 	               0 	    -0.035756507
560000 	        20.44471 	               0 	       20.759288 	               0 	               0 	    -0.035958281
565000 	       21.203781 	               0 	       21.205995 	               0 	               0 	    -0.035549756
570000 	       25.526923 	               0 	       24.583016 	               0 	               0 	    -0.034109309
575000 	       28.253091 	               0 	       28.037602 	               0 	               0 	    -0.033852155
580000 	        26.58361 	               0 	       26.590626 	               0 	               0 	      -0.0339006
585000 	       26.498273 	               0 	       26.508102 	               0 	               0 	    -0.033931073
590000 	       25.951111 	               0 	       25.999887 	               0 	               0 	    -0.033997958
595000 	       25.923143 	               0 	       25.930924 	               0 	               0 	    -0.034014595
600000 	       25.895893 	               0 	       25.899987 	               0 	               0 	    -0.034014113
