#Zeitstempel	Wert
136500	42.545
136800	45.141
137100	44.938
137400	37.414
137700	37.604
138000	39.064
138300	40.52
138600	40.122
138900	38.196
139200	36.972
139500	37.463
139800	40.878
140100	47.388
140400	54.473
140700	60.491
141000	59.737
141300	58.158
141600	56.616
141900	57.531
142200	60.057
142500	62.658
142800	65.268
143100	67.885
143400	70.455
143700	70.998
144000	70.931
144300	70.941
144600	71.476
144900	72.112
145200	72.747
145500	73.383
145800	73.981
146100	73.912
146400	73.599
146700	73.287
147000	72.975
147300	72.662
147600	72.35
147900	72.038
148200	71.764
148500	72.578
148800	73.891
149100	75.008
149400	75.409
149700	75.554
150000	75.421
150300	75.287
150600	75.152
150900	74.783
151200	73.39
151500	71.878
151800	70.759
152100	70.778
152400	70.87
152700	70.829
153000	70.091
153300	69.251
153600	68.732
153900	69.267
154200	69.723
154500	68.195
154800	66.178
155100	64.213
155400	63.933
155700	64.517
156000	64.399
156300	63.197
156600	61.982
156900	60.959
157200	61.574
157500	62.564
157800	63.479
158100	62.731
158400	61.302
158700	59.882
159000	59.168
159300	59.851
159600	60.598
159900	61.348
160200	62.098
160500	62.258
160800	61.561
161100	60.856
161400	60.151
161700	59.462
162000	58.92
162300	59.472
162600	60.252
162900	59.259
163200	57.358
163500	56.723
163800	56.395
164100	56.201
164400	56.766
164700	57.448
165000	58.13
165300	58.885
165600	60.12
165900	61.472
166200	62.827
166500	63.987
166800	63.701
167100	63.201
167400	63.319
167700	63.569
168000	63.599
168300	62.609
168600	61.49
168900	61.011
169200	62.495
169500	64.117
169800	65.739
170100	66.86
170400	66.26
170700	65.514
171000	65.64
171300	67.782
171600	69.207
171900	69.919
172200	70.631
172500	71.343
172800	72.055
173100	72.767
173400	73.479
173700	74.191
174000	74.903
174300	75.615
174600	76.327
174900	77.04
175200	77.452
175500	76.834
175800	76.13
176100	75.425
176400	74.72
176700	74.015
177000	74.289
177300	74.726
177600	73.999
177900	73.272
178200	72.882
178500	73.959
178800	74.649
179100	72.74
179400	71.655
179700	72.686
180000	73.764
180300	74.841
180600	75.614
180900	74.679
181200	73.477
181500	72.278
181800	72.5
182100	73.894
182400	75.287
182700	76.681
183000	77.882
183300	78.909
183600	79.94
183900	80.972
184200	82.004
184500	83.036
184800	84.068
185100	85.1
185400	86.15
185700	87.424
186000	89.863
186300	92.817
186600	95.762
186900	96.587
187200	95.769
187500	94.951
187800	94.133
188100	93.312
188400	92.386
188700	91.403
189000	90.419
189300	90.207
189600	93.126
189900	97.959
190200	102.984
190500	106.988
190800	109.802
191100	112.664
191400	115.531
191700	118.397
192000	121.269
192300	123.843
192600	126.263
192900	128.683
193200	131.108
193500	133.567
193800	136.037
194100	138.507
194400	141.579
194700	145.376
195000	149.246
195300	153.118
195600	156.983
195900	157.455
196200	155.713
196500	158.807
196800	161.548
197100	162.233
197400	162.917
197700	163.601
198000	164.184
198300	163.445
198600	162.3
198900	161.631
199200	164.482
199500	167.998
199800	168.104
200100	166.24
200400	164.39
200700	162.623
201000	163.993
201300	162.349
201600	160.535
201900	158.722
202200	159.269
202500	156.767
202800	147.75
203100	138.985
203400	130.512
203700	143.116
204000	154.716
204300	150.986
204600	142.183
204900	147.815
205200	153.146
205500	150.399
205800	151.135
206100	153.144
206400	155.16
206700	157.196
207000	160.144
207300	163.067
207600	163.806
207900	163.681
208200	161.912
208500	160.093
208800	158.273
209100	156.454
209400	154.641
209700	156.418
210000	166.444
210300	168.291
210600	167.158
210900	166.058
211200	166.672
211500	168.343
211800	170.065
212100	172.748
212400	175.703
212700	175.606
213000	172.305
213300	168.435
213600	167.338
213900	166.484
214200	165.622
214500	164.382
214800	162.959
215100	161.537
215400	160.114
215700	158.639
216000	156.337
216300	153.767
216600	151.328
216900	149.819
217200	148.522
217500	147.417
217800	146.685
218100	145.962
218400	145.24
218700	144.518
219000	143.795
219300	143.073
219600	142.376
219900	141.691
220200	140.965
220500	139.639
220800	138.116
221100	136.594
221400	135.072
221700	133.55
222000	133.076
222300	134.396
222600	133.222
222900	130.436
223200	127.683
223500	125.887
223800	125.249
224100	124.615
224400	123.89
224700	122.969
225000	122.041
225300	121.113
225600	120.19
225900	119.271
226200	118.356
226500	117.441
226800	117.078
227100	118.229
227400	119.443
227700	119.063
228000	117.711
228300	116.36
228600	115.228
228900	116.302
229200	117.945
229500	119.49
229800	120.44
230100	121.296
230400	122.154
230700	123.012
231000	123.87
231300	124.728
231600	125.373
231900	125.141
232200	124.815
232500	124.49
232800	124.164
233100	123.846
233400	124.246
233700	125.111
234000	125.926
234300	126.479
234600	126.995
234900	127.511
235200	127.99
235500	127.292
235800	126.022
236100	124.753
236400	124.511
236700	125.169
237000	125.827
237300	126.442
237600	126.376
237900	126.076
238200	126.263
238500	127.865
238800	129.315
239100	130.508
239400	131.709
239700	132.679
240000	132.284
240300	131.679
240600	131.079
240900	130.523
241200	131.328
241500	132.814
241800	134.078
242100	134.407
242400	134.298
242700	132.803
243000	132.542
243300	132.714
243600	132.347
243900	132.743
244200	133.111
244500	130.989
244800	129.909
245100	129.348
245400	128.725
245700	126.343
246000	123.464
246300	122.444
246600	121.733
246900	121.023
247200	120.315
247500	119.61
247800	118.909
248100	118.438
248400	118.97
248700	119.62
249000	120.103
249300	120.104
249600	120.075
249900	120.045
250200	119.279
250500	117.929
250800	117.103
251100	116.301
251400	115.765
251700	115.35
252000	114.934
252300	113.748
252600	110.894
252900	109.617
253200	108.883
253500	108.159
253800	107.436
254100	106.545
254400	104.214
254700	101.554
255000	98.823
255300	95.78
255600	92.71
255900	89.641
256200	87.881
256500	88.743
256800	89.704
257100	89.738
257400	88.5
257700	87.296
258000	86.48
258300	85.989
258600	85.497
258900	85.003
259200	82.913
259500	79.494
259800	77.689
260100	77.196
260400	76.704
260700	76.211
261000	75.629
261300	74.755
261600	73.955
261900	74.211
262200	74.756
262500	75.106
262800	74.204
