#Zeitstempel	Wert
0	6.622402777777777
43200	9.703006944444445
86400	14.517513888888889
129600	57.259583333333325
172800	124.05479166666666
216000	122.90247916666665
259200	57.45706944444444
302400	38.29890972222222
345600	31.994312499999996
388800	27.985333333333333
432000	24.169895833333335
475200	23.516361111111113
518400	21.566395833333335
561600	23.630847222222222
