#  Time[s]  	        Q [m3/s] 	
0 	               0
900 	       7.5285799
1800 	       12.345225
2700 	       12.975303
3600 	       13.042831
4500 	        13.10545
5400 	       13.159505
6300 	       13.138601
7200 	       13.123408
8100 	       13.224411
9000 	       13.245565
9900 	       13.227466
10800 	       13.166193
11700 	       13.086618
12600 	       13.027911
13500 	       13.032426
14400 	       13.034329
